pdb_id,rmsd_angstrom,reference_pdb_id
7QE9,0.332,1TRN
7QE8,0.361,1TRN
1EPT,0.455,1TRN
1TGB,0.582,1TRN
1TPA,0.59,1TRN
5R42,0.748,1TRN
